question,label
주간 모터 A라인 입고 예정 현황 알려줘,재고
주간 비상정지버튼 입고 예정 집계 알려줘,재고
이번 주 외부망에서 전자결재 로그인 실패 해결 방법 알려줘,기타
지금 기준 공지 시스템 점검 공지 확인 방법 알려줘,기타
이번 달 출고 예정 기준으로 모터 A라인 데이터 보여줘,재고
주간 A라인 목표 달성률 보여줘,생산
총무팀 관련 공지는 게시판에서 어디에 있어?,기타
대리 기준 근태 신청 절차 알려줘,규율
오늘 PC에서 공지 시스템 페이지 오류 해결 방법 알려줘,기타
3라인 비가동 사유가 인력 공백 맞아?,생산
연간 생산 매출 집계 알려줘,재무
월간 볼트 M5 출고 예정 상세 알려줘,재고
연간 영업 비용 상세 알려줘,재무
오늘 1라인 목표 달성률 보여줘,생산
오늘 구매 비용 추이 알려줘,재무
분기 관리 비용 요약 알려줘,재무
지금 기준으로 날씨 짧게 알려줘,일반
이번 달 물류 원가 추이 알려줘,재무
생산팀 관련 문서 양식는 전자결재에서 어디에 있어?,기타
방금 PC에서 VPN 페이지 오류 해결 방법 알려줘,기타
신입 기준 근태 양식 위치 알려줘,규율
A라인 가동률 왜 낮은지 분석해줘,생산
신입 기준 연차 양식 위치 알려줘,규율
오늘 기준으로 집중 방법 가볍게 알려줘,일반
이번 주 1라인 가동률 보여줘,생산
이번 주 외부망에서 VPN 페이지 오류 해결 방법 알려줘,기타
오늘 3라인 비가동 시간 보여줘,생산
이번 주 와셔 8mm 재고 평가금액 상세 알려줘,재고
지난 달 구매 비용 비교 알려줘,재무
요즘 기준으로 점심 메뉴 밝게 알려줘,일반
분기 관리 비용 추이 알려줘,재무
오늘 품질 매출 비교 알려줘,재무
오늘 볼트 M5 재고 평가금액 수량 알려줘,재고
오늘 B라인 불량률 보여줘,생산
이번 주 구매 비용 추이 알려줘,재무
과장 기준 근태 규정 알려줘,규율
보안 승인 기준 알려줘,규율
사원 기준 연차 승인 기준 알려줘,규율
오늘 사내망에서 전자결재 페이지 오류 해결 방법 알려줘,기타
연간 영업 손익 상세 알려줘,재무
어제 B라인 불량률 보여줘,생산
오늘 볼트 M5 출고 예정 집계 알려줘,재고
이번 달 물류 미수금 상세 알려줘,재무
주간 3라인 비가동 시간 보여줘,생산
과장 기준 퇴사 신청 절차 알려줘,규율
대리 기준 보안 신청 절차 알려줘,규율
이번 달 관리 원가 집계 알려줘,재무
이번 주 PC에서 공지 시스템 권한 없음 해결 방법 알려줘,기타
오늘 1라인 불량률 보여줘,생산
이번 주 2라인 작업 지연 보여줘,생산
오늘 PC에서 전자결재 페이지 오류 해결 방법 알려줘,기타
방금 외부망에서 VPN 알림 미수신 해결 방법 알려줘,기타
오늘 원격에서 게시판 페이지 오류 해결 방법 알려줘,기타
C라인 작업 지연 왜 낮은지 분석해줘,생산
전자결재 모바일 버전에서 문서 양식 찾는 경로 알려줘,기타
방금 사내망에서 사내 포털 알림 미수신 해결 방법 알려줘,기타
월간 볼트 M5 입고 예정 현황 알려줘,재고
보안 주의사항 요약해줘,규율
요즘 기준으로 아침 루틴 재밌게 알려줘,일반
주간 모터 A라인 재고 요약 알려줘,재고
팀장 기준 복장 양식 위치 알려줘,규율
주간 2라인 생산 실적 보여줘,생산
팀장 기준 보안 규정 알려줘,규율
이번 주 기준으로 퇴근 후 취미 가볍게 알려줘,일반
C라인 기준으로 이번 달 생산 요약 만들어줘,생산
월간 너트 M4 입고 예정 수량 알려줘,재고
지금 PC에서 VPN 알림 미수신 해결 방법 알려줘,기타
지금 기준으로 날씨 친근하게 알려줘,일반
과장 기준 퇴사 승인 기준 알려줘,규율
"힘내자, 짧은 농담 해줘",일반
신입 기준 복장 규정 알려줘,규율
오늘 사내망에서 VPN 페이지 오류 해결 방법 알려줘,기타
과장 기준 출장 승인 기준 알려줘,규율
오늘 A라인 생산 실적 보여줘,생산
오늘 기준으로 운동 루틴 밝게 알려줘,일반
영업팀 관련 부서 연락처는 게시판에서 어디에 있어?,기타
방금 모바일에서 공지 시스템 알림 미수신 해결 방법 알려줘,기타
이번 주 볼트 M4x10 반품 재고 집계 알려줘,재고
C라인 비가동 사유가 자재 부족 맞아?,생산
B라인 기준으로 이번 주 생산 요약 만들어줘,생산
지난 달 영업 미수금 요약 알려줘,재무
이번 달 구매 미수금 현황 알려줘,재무
이번 주 생산 예산 집행률 현황 알려줘,재무
근태 위반 시 조치 기준 알려줘,규율
주간 안전재고 기준으로 비상정지버튼 데이터 보여줘,재고
월간 볼트 M5 재고 평가금액 리스트 알려줘,재고
주간 볼트 M4x10 입고 예정 리스트 알려줘,재고
이번 주 외부망에서 사내 포털 권한 없음 해결 방법 알려줘,기타
팀장 기준 근태 양식 위치 알려줘,규율
팀장 기준 보안 승인 기준 알려줘,규율
이번 주 영업 비용 비교 알려줘,재무
3라인 비가동 시간 왜 낮은지 분석해줘,생산
이번 달 센서 B형 입고 예정 수량 알려줘,재고
이번 주 1라인 불량률 보여줘,생산
주간 와셔 8mm 반품 재고 리스트 알려줘,재고
분기 구매 손익 현황 알려줘,재무
사원 기준 보안 주의사항 요약해줘,규율
지금 외부망에서 VPN 첨부 업로드 실패 해결 방법 알려줘,기타
1라인 기준으로 이번 주 생산 요약 만들어줘,생산
지금 외부망에서 공지 시스템 알림 미수신 해결 방법 알려줘,기타
주간 생산라인별 가동률 비교해줘,생산
월간 B라인 작업 지연 보여줘,생산
이번 주 외부망에서 게시판 권한 없음 해결 방법 알려줘,기타
이번 달 물류 원가 요약 알려줘,재무
이번 달 관리 비용 비교 알려줘,재무
요즘 기준으로 퇴근 후 취미 친근하게 알려줘,일반
1라인 비가동 사유가 계획 변경 맞아?,생산
월간 볼트 M4x10 출고 예정 현황 알려줘,재고
대리 기준 재택근무 규정 알려줘,규율
이번 달 와셔 8mm 안전재고 수량 알려줘,재고
팀장 기준 근태 신청 절차 알려줘,규율
C라인 비가동 사유가 품질 이슈 맞아?,생산
오늘 볼트 M5 반품 재고 현황 알려줘,재고
연간 영업 미수금 추이 알려줘,재무
팀장 기준 재택근무 신청 절차 알려줘,규율
입사 규정 알려줘,규율
오늘 구매 손익 추이 알려줘,재무
이번 달 3라인 생산 실적 보여줘,생산
2라인 불량률 왜 낮은지 분석해줘,생산
이번 주 B라인 생산 실적 보여줘,생산
오늘 기준으로 운동 루틴 재밌게 알려줘,일반
방금 PC에서 공지 시스템 권한 없음 해결 방법 알려줘,기타
오늘 원격에서 게시판 첨부 업로드 실패 해결 방법 알려줘,기타
연간 품질 예산 집행률 추이 알려줘,재무
B라인 기준으로 월간 생산 요약 만들어줘,생산
사원 기준 근태 신청 절차 알려줘,규율
이번 달 2라인 목표 달성률 보여줘,생산
2라인 기준으로 월간 생산 요약 만들어줘,생산
금일 모터 A라인 재고 리스트 알려줘,재고
퇴사 신청 절차 알려줘,규율
대리 기준 퇴사 승인 기준 알려줘,규율
오늘 기준으로 점심 메뉴 친근하게 알려줘,일반
1라인 기준으로 월간 생산 요약 만들어줘,생산
사원 기준 보안 규정 알려줘,규율
연간 관리 비용 요약 알려줘,재무
대리 기준 근태 승인 기준 알려줘,규율
이번 달 외부망에서 메일 알림 미수신 해결 방법 알려줘,기타
오늘 물류 원가 현황 알려줘,재무
팀장 기준 연차 신청 절차 알려줘,규율
이번 주 모터 A라인 반품 재고 리스트 알려줘,재고
지금 외부망에서 게시판 알림 미수신 해결 방법 알려줘,기타
주간 3라인 가동률 보여줘,생산
주간 비상정지버튼 입고 예정 수량 알려줘,재고
월간 1라인 불량률 보여줘,생산
이번 주 센서 B형 불용 재고 현황 알려줘,재고
이번 주 1라인 생산 실적 보여줘,생산
이번 달 구매 매출 추이 알려줘,재무
주간 C라인 불량률 보여줘,생산
오늘 센서 B형 입고 예정 상세 알려줘,재고
연차 승인 기준 알려줘,규율
이번 주 구매 매출 상세 알려줘,재무
대리 기준 보안 주의사항 요약해줘,규율
이번 주 기준으로 집중 방법 재밌게 알려줘,일반
요즘 컨디션 올리는 팁 짧게 말해줘,일반
사원 기준 보안 신청 절차 알려줘,규율
오늘 생산라인별 불량률 비교해줘,생산
대리 기준 퇴사 규정 알려줘,규율
주간 1라인 생산 실적 보여줘,생산
이번 주 PC에서 사내 포털 알림 미수신 해결 방법 알려줘,기타
팀장 기준 재택근무 승인 기준 알려줘,규율
오늘 기준으로 점심 메뉴 밝게 알려줘,일반
월간 반품 재고 기준으로 너트 M4 데이터 보여줘,재고
과장 기준 출장 양식 위치 알려줘,규율
주간 너트 M4 반품 재고 리스트 알려줘,재고
오늘 와셔 8mm 불용 재고 리스트 알려줘,재고
이번 달 원격에서 전자결재 권한 없음 해결 방법 알려줘,기타
인사팀 관련 업무 메뉴는 게시판에서 어디에 있어?,기타
오늘 원격에서 메일 로그인 실패 해결 방법 알려줘,기타
1라인 기준으로 이번 달 생산 요약 만들어줘,생산
방금 사내망에서 VPN 권한 없음 해결 방법 알려줘,기타
월간 볼트 M4x10 재고 수량 알려줘,재고
이번 달 영업 손익 요약 알려줘,재무
오늘 기준으로 아침 루틴 짧게 알려줘,일반
사원 기준 복장 신청 절차 알려줘,규율
집중 방법 추천해줘,일반
주간 볼트 M4x10 안전재고 현황 알려줘,재고
이번 주 볼트 M5 불용 재고 요약 알려줘,재고
비상정지버튼 안전재고 지금 얼마나 있어?,재고
이번 주 컨디션 올리는 팁 한 줄로 말해줘,일반
이번 달 너트 M4 출고 예정 집계 알려줘,재고
사원 기준 재택근무 승인 기준 알려줘,규율
이번 주 물류 예산 집행률 비교 알려줘,재무
오늘 기준으로 날씨 짧게 알려줘,일반
과장 기준 복장 규정 알려줘,규율
월간 반품 재고 기준으로 모터 A라인 데이터 보여줘,재고
이번 주 기준으로 주말 계획 친근하게 알려줘,일반
연간 관리 매출 비교 알려줘,재무
이번 주 구매 비용 집계 알려줘,재무
신입 기준 보안 양식 위치 알려줘,규율
이번 주 기준으로 커피 추천 재밌게 알려줘,일반
2라인 비가동 사유가 품질 이슈 맞아?,생산
총무팀 관련 부서 연락처는 VPN에서 어디에 있어?,기타
오늘 기준으로 아침 루틴 한 줄로 알려줘,일반
방금 사내망에서 공지 시스템 페이지 오류 해결 방법 알려줘,기타
이번 달 외부망에서 VPN 알림 미수신 해결 방법 알려줘,기타
오늘 외부망에서 메일 권한 없음 해결 방법 알려줘,기타
1라인 비가동 시간 왜 낮은지 분석해줘,생산
오늘 원격에서 전자결재 권한 없음 해결 방법 알려줘,기타
이번 달 구매 손익 추이 알려줘,재무
친구처럼 격려 한마디 해줘,일반
지금 기준으로 점심 메뉴 밝게 알려줘,일반
"고마워, 동기부여 문장 줘",일반
"안녕, 스트레스 풀 문장 하나 줘",일반
오늘 기준으로 집중 방법 짧게 알려줘,일반
오늘 볼트 M4x10 출고 예정 현황 알려줘,재고
이번 달 기준 VPN 점검 공지 확인 방법 알려줘,기타
금일 너트 M4 출고 예정 수량 알려줘,재고
이번 주 기준으로 집중 방법 짧게 알려줘,일반
오늘 A라인 목표 달성률 보여줘,생산
인사팀 관련 부서 연락처는 전자결재에서 어디에 있어?,기타
퇴사 주의사항 요약해줘,규율
오늘 모터 A라인 입고 예정 현황 알려줘,재고
이번 달 3라인 목표 달성률 보여줘,생산
2라인 작업 지연 왜 낮은지 분석해줘,생산
팀장 기준 퇴사 주의사항 요약해줘,규율
오늘 영업 비용 현황 알려줘,재무
이번 주 비상정지버튼 불용 재고 리스트 알려줘,재고
이번 달 영업 미수금 요약 알려줘,재무
이번 달 관리 미수금 현황 알려줘,재무
오늘 품질 원가 집계 알려줘,재무
출장 양식 위치 알려줘,규율
공지 시스템 PC 버전에서 업무 메뉴 찾는 경로 알려줘,기타
이번 달 구매 미수금 추이 알려줘,재무
월간 3라인 가동률 보여줘,생산
오늘 볼트 M5 안전재고 리스트 알려줘,재고
대리 기준 입사 주의사항 요약해줘,규율
지난 달 기준 미수금 리포트 만들어줘,재무
지난 달 영업 매출 요약 알려줘,재무
월간 3라인 비가동 시간 보여줘,생산
오늘 구매 예산 집행률 현황 알려줘,재무
금일 볼트 M4x10 반품 재고 현황 알려줘,재고
분기 품질 손익 상세 알려줘,재무
주간 A라인 작업 지연 보여줘,생산
금일 볼트 M4x10 불용 재고 요약 알려줘,재고
연간 관리 예산 집행률 요약 알려줘,재무
오늘 기준으로 점심 메뉴 한 줄로 알려줘,일반
오늘 생산라인별 비가동 시간 비교해줘,생산
이번 달 A라인 목표 달성률 보여줘,생산
지금 기준으로 집중 방법 가볍게 알려줘,일반
지금 기준으로 아침 루틴 친근하게 알려줘,일반
이번 달 원격에서 VPN 로그인 실패 해결 방법 알려줘,기타
오늘 컨디션 올리는 팁 가볍게 말해줘,일반
오늘 기준으로 운동 루틴 가볍게 알려줘,일반
월간 너트 M4 출고 예정 리스트 알려줘,재고
이번 달 구매 비용 비교 알려줘,재무
너트 M4 불용 재고 지금 얼마나 있어?,재고
금일 모터 A라인 입고 예정 현황 알려줘,재고
이번 달 센서 B형 안전재고 리스트 알려줘,재고
팀장 기준 퇴사 신청 절차 알려줘,규율
날씨 관련해서 한 줄로 조언해줘,일반
이번 달 생산라인별 작업 지연 비교해줘,생산
이번 주 A라인 비가동 시간 보여줘,생산
지금 기준으로 커피 추천 친근하게 알려줘,일반
이번 주 영업 예산 집행률 상세 알려줘,재무
생산팀 관련 공지는 게시판에서 어디에 있어?,기타
커피 추천 관련해서 재밌게 조언해줘,일반
방금 원격에서 VPN 알림 미수신 해결 방법 알려줘,기타
이번 주 영업 미수금 상세 알려줘,재무
전산팀 관련 문서 양식는 VPN에서 어디에 있어?,기타
이번 주 사내망에서 전자결재 로그인 실패 해결 방법 알려줘,기타
이번 달 기준 미수금 리포트 만들어줘,재무
신입 기준 퇴사 신청 절차 알려줘,규율
월간 C라인 생산 실적 보여줘,생산
주간 모터 A라인 반품 재고 현황 알려줘,재고
영업팀 관련 업무 메뉴는 게시판에서 어디에 있어?,기타
과장 기준 보안 양식 위치 알려줘,규율
이번 달 PC에서 공지 시스템 로그인 실패 해결 방법 알려줘,기타
사원 기준 입사 승인 기준 알려줘,규율
지금 모바일에서 공지 시스템 로그인 실패 해결 방법 알려줘,기타
신입 기준 입사 승인 기준 알려줘,규율
"고마워, 짧은 명언 알려줘",일반
어제 생산라인별 작업 지연 비교해줘,생산
3라인 기준으로 월간 생산 요약 만들어줘,생산
주간 출고 예정 기준으로 볼트 M5 데이터 보여줘,재고
오늘 영업 손익 비교 알려줘,재무
주간 A라인 비가동 시간 보여줘,생산
지금 외부망에서 공지 시스템 권한 없음 해결 방법 알려줘,기타
이번 주 재고 기준으로 센서 B형 데이터 보여줘,재고
대리 기준 퇴사 주의사항 요약해줘,규율
복장 규정 알려줘,규율
금일 볼트 M4x10 불용 재고 상세 알려줘,재고
점심 메뉴 관련해서 한 줄로 조언해줘,일반
이번 달 생산 원가 추이 알려줘,재무
어제 3라인 가동률 보여줘,생산
오늘 모터 A라인 재고 평가금액 리스트 알려줘,재고
주간 생산라인별 비가동 시간 비교해줘,생산
이번 주 외부망에서 사내 포털 알림 미수신 해결 방법 알려줘,기타
오늘 너트 M4 안전재고 수량 알려줘,재고
요즘 기준으로 점심 메뉴 짧게 알려줘,일반
지금 PC에서 전자결재 로그인 실패 해결 방법 알려줘,기타
오늘 출고 예정 기준으로 센서 B형 데이터 보여줘,재고
오늘 품질 미수금 요약 알려줘,재무
이번 주 생산 손익 상세 알려줘,재무
B라인 비가동 사유가 자재 부족 맞아?,생산
지금 PC에서 공지 시스템 권한 없음 해결 방법 알려줘,기타
3라인 비가동 사유가 자재 부족 맞아?,생산
이번 달 볼트 M4x10 불용 재고 요약 알려줘,재고
A라인 비가동 사유가 인력 공백 맞아?,생산
수고했어,일반
이번 달 영업 예산 집행률 집계 알려줘,재무
C라인 기준으로 어제 생산 요약 만들어줘,생산
오늘 기준으로 퇴근 후 취미 짧게 알려줘,일반
오늘 와셔 8mm 재고 평가금액 집계 알려줘,재고
오늘 사내망에서 VPN 로그인 실패 해결 방법 알려줘,기타
C라인 비가동 시간 왜 낮은지 분석해줘,생산
분기 품질 손익 추이 알려줘,재무
연간 물류 미수금 추이 알려줘,재무
재 적용되는 근태 규정 변경사항 있어?,규율
어제 A라인 생산 실적 보여줘,생산
1라인 작업 지연 왜 낮은지 분석해줘,생산
과장 기준 입사 주의사항 요약해줘,규율
영업 예산 대비 예산 집행률 차이 분석해줘,재무
이번 달 센서 B형 재고 평가금액 집계 알려줘,재고
이번 주 볼트 M5 재고 집계 알려줘,재고
주간 볼트 M4x10 불용 재고 상세 알려줘,재고
신입 기준 출장 규정 알려줘,규율
지금 기준으로 점심 메뉴 짧게 알려줘,일반
오늘 영업 손익 추이 알려줘,재무
점심 메뉴 관련해서 재밌게 조언해줘,일반
이번 주 외부망에서 메일 로그인 실패 해결 방법 알려줘,기타
이번 달 사내망에서 전자결재 권한 없음 해결 방법 알려줘,기타
이번 주 물류 예산 집행률 추이 알려줘,재무
지금 기준으로 날씨 밝게 알려줘,일반
오늘 볼트 M5 반품 재고 수량 알려줘,재고
이번 주 기준으로 점심 메뉴 친근하게 알려줘,일반
이번 주 볼트 M5 반품 재고 수량 알려줘,재고
게시판 모바일 버전에서 공지 찾는 경로 알려줘,기타
금일 안전재고 기준으로 모터 A라인 데이터 보여줘,재고
팀장 기준 근태 규정 알려줘,규율
동료처럼 짧은 명언 알려줘,일반
운동 루틴 관련해서 친근하게 조언해줘,일반
방금 모바일에서 전자결재 첨부 업로드 실패 해결 방법 알려줘,기타
연간 구매 예산 집행률 상세 알려줘,재무
근태 승인 기준 알려줘,규율
신입 기준 출장 주의사항 요약해줘,규율
과장 기준 근태 신청 절차 알려줘,규율
이번 달 A라인 가동률 보여줘,생산
사원 기준 근태 주의사항 요약해줘,규율
입사 승인 기준 알려줘,규율
1라인 가동률 왜 낮은지 분석해줘,생산
이번 주 사내망에서 공지 시스템 첨부 업로드 실패 해결 방법 알려줘,기타
기분 좋아지는 말 해줘,일반
이번 주 와셔 8mm 안전재고 현황 알려줘,재고
월간 볼트 M4x10 출고 예정 요약 알려줘,재고
이번 달 볼트 M4x10 출고 예정 수량 알려줘,재고
분기 영업 매출 상세 알려줘,재무
팀장 기준 출장 양식 위치 알려줘,규율
지난 달 관리 손익 현황 알려줘,재무
팀장 기준 복장 신청 절차 알려줘,규율
금일 와셔 8mm 출고 예정 현황 알려줘,재고
이번 달 모바일에서 사내 포털 권한 없음 해결 방법 알려줘,기타
이번 주 관리 원가 상세 알려줘,재무
월간 B라인 불량률 보여줘,생산
이번 달 PC에서 VPN 권한 없음 해결 방법 알려줘,기타
"안녕, 짧은 명언 알려줘",일반
총무팀 담당자 연락처를 포털에서 찾을 수 있어?,기타
요즘 기준으로 점심 메뉴 한 줄로 알려줘,일반
분기 관리 미수금 현황 알려줘,재무
"좋은 아침, 웃긴 멘트 하나 해줘",일반
이번 주 관리 원가 추이 알려줘,재무
연간 구매 예산 집행률 요약 알려줘,재무
오늘 기준으로 주말 계획 짧게 알려줘,일반
이번 주 기준으로 점심 메뉴 재밌게 알려줘,일반
이번 주 비상정지버튼 안전재고 수량 알려줘,재고
지난 달 생산 원가 비교 알려줘,재무
월간 볼트 M5 입고 예정 집계 알려줘,재고
분기 품질 매출 비교 알려줘,재무
팀장 기준 복장 규정 알려줘,규율
금일 와셔 8mm 반품 재고 요약 알려줘,재고
이번 달 B라인 가동률 보여줘,생산
근태 신청 절차 알려줘,규율
지금 외부망에서 VPN 로그인 실패 해결 방법 알려줘,기타
지난 달 생산 매출 비교 알려줘,재무
사원 기준 근태 규정 알려줘,규율
"힘내자, 재미있는 이야기 해줘",일반
금일 모터 A라인 재고 상세 알려줘,재고
월간 비상정지버튼 출고 예정 리스트 알려줘,재고
지금 PC에서 공지 시스템 로그인 실패 해결 방법 알려줘,기타
이번 주 물류 비용 집계 알려줘,재무
복장 위반 시 조치 기준 알려줘,규율
품질 미수금가 지난 달 대비 얼마나 변했어?,재무
금일 안전재고 기준으로 너트 M4 데이터 보여줘,재고
이번 달 외부망에서 전자결재 로그인 실패 해결 방법 알려줘,기타
코치처럼 짧은 명언 알려줘,일반
지난 달 기준 손익 리포트 만들어줘,재무
방금 원격에서 게시판 알림 미수신 해결 방법 알려줘,기타
월간 B라인 생산 실적 보여줘,생산
이번 달 C라인 비가동 시간 보여줘,생산
운동 루틴 관련해서 재밌게 조언해줘,일반
대리 기준 연차 양식 위치 알려줘,규율
연간 구매 비용 요약 알려줘,재무
월간 와셔 8mm 재고 평가금액 현황 알려줘,재고
주간 2라인 가동률 보여줘,생산
이번 달 출고 예정 기준으로 볼트 M5 데이터 보여줘,재고
오늘 모터 A라인 반품 재고 집계 알려줘,재고
지난 달 영업 원가 집계 알려줘,재무
신입 기준 출장 승인 기준 알려줘,규율
이번 주 영업 비용 현황 알려줘,재무
전자결재 원격 버전에서 업무 메뉴 찾는 경로 알려줘,기타
이번 달 B라인 비가동 시간 보여줘,생산
오늘 재고 기준으로 비상정지버튼 데이터 보여줘,재고
"반가워, 격려 한마디 해줘",일반
생산 예산 대비 예산 집행률 차이 분석해줘,재무
복장 주의사항 요약해줘,규율
이번 달 B라인 생산 실적 보여줘,생산
이번 주 와셔 8mm 반품 재고 요약 알려줘,재고
코치처럼 웃긴 멘트 하나 해줘,일반
코치처럼 스트레스 풀 문장 하나 줘,일반
전산팀 관련 문서 양식는 메일에서 어디에 있어?,기타
지금 모바일에서 VPN 알림 미수신 해결 방법 알려줘,기타
지금 기준으로 운동 루틴 재밌게 알려줘,일반
오늘 볼트 M4x10 재고 수량 알려줘,재고
게시판 사용법 알려줘,기타
3라인 기준으로 이번 주 생산 요약 만들어줘,생산
이번 주 생산라인별 생산 실적 비교해줘,생산
커피 추천 추천해줘,일반
주간 와셔 8mm 반품 재고 요약 알려줘,재고
이번 달 1라인 비가동 시간 보여줘,생산
연간 관리 원가 요약 알려줘,재무
이번 주 생산라인별 비가동 시간 비교해줘,생산
과장 기준 출장 규정 알려줘,규율
방금 모바일에서 공지 시스템 로그인 실패 해결 방법 알려줘,기타
사원 기준 재택근무 주의사항 요약해줘,규율
"수고했어, 기분 좋아지는 말 해줘",일반
사원 기준 입사 규정 알려줘,규율
이번 달 출고 예정 기준으로 비상정지버튼 데이터 보여줘,재고
팀장 기준 복장 승인 기준 알려줘,규율
이번 달 생산라인별 가동률 비교해줘,생산
"반가워, 기분 좋아지는 말 해줘",일반
2라인 기준으로 오늘 생산 요약 만들어줘,생산
연간 구매 미수금 현황 알려줘,재무
연간 물류 손익 비교 알려줘,재무
이번 주 B라인 작업 지연 보여줘,생산
지금 기준으로 커피 추천 재밌게 알려줘,일반
방금 PC에서 사내 포털 알림 미수신 해결 방법 알려줘,기타
신입 기준 퇴사 승인 기준 알려줘,규율
"오늘도 화이팅, 재미있는 이야기 해줘",일반
재 적용되는 입사 규정 변경사항 있어?,규율
친구처럼 스트레스 풀 문장 하나 줘,일반
지난 달 영업 예산 집행률 비교 알려줘,재무
이번 주 3라인 불량률 보여줘,생산
오늘 기준으로 아침 루틴 친근하게 알려줘,일반
1라인 비가동 사유가 품질 이슈 맞아?,생산
연간 물류 미수금 상세 알려줘,재무
A라인 기준으로 이번 주 생산 요약 만들어줘,생산
지금 기준으로 운동 루틴 짧게 알려줘,일반
요즘 기준으로 날씨 밝게 알려줘,일반
이번 주 영업 원가 집계 알려줘,재무
과장 기준 연차 주의사항 요약해줘,규율
오늘 품질 손익 요약 알려줘,재무
이번 주 3라인 가동률 보여줘,생산
금일 볼트 M4x10 안전재고 상세 알려줘,재고
오늘 사내망에서 공지 시스템 첨부 업로드 실패 해결 방법 알려줘,기타
오늘 볼트 M4x10 출고 예정 집계 알려줘,재고
오늘 2라인 생산 실적 보여줘,생산
재 적용되는 보안 규정 변경사항 있어?,규율
팀장 기준 입사 규정 알려줘,규율
어제 A라인 작업 지연 보여줘,생산
과장 기준 출장 주의사항 요약해줘,규율
오늘 2라인 가동률 보여줘,생산
근태 규정 알려줘,규율
아침 루틴 관련해서 밝게 조언해줘,일반
오늘 PC에서 게시판 페이지 오류 해결 방법 알려줘,기타
지난 달 관리 손익 요약 알려줘,재무
주간 C라인 생산 실적 보여줘,생산
지난 달 영업 미수금 추이 알려줘,재무
팀장 기준 보안 양식 위치 알려줘,규율
1라인 기준으로 어제 생산 요약 만들어줘,생산
이번 달 볼트 M4x10 입고 예정 집계 알려줘,재고
재택근무 양식 위치 알려줘,규율
